X,Y,rho,p,N,X_N,X_Mean,X_SD,X_Median,X_Min,X_Max,Y_N,Y_Mean,Y_SD,Y_Median,Y_Min,Y_Max,TourType
AvgSelfReportedLiking,AvgGeneralRating,0.5882352941176471,0.016539722195378165,16,16.0,27.754375000000003,7.511161444809984,28.36,13.0,40.71,16.0,25.393125,12.048751923608796,29.75,7.79,43.5,1
AvgGazeTime,AvgGeneralRating,0.4705882352941176,0.06581947250108118,16,16.0,51.059375,12.239044880354566,53.745,28.32,68.03,16.0,25.393125,12.048751923608796,29.75,7.79,43.5,1
AvgGazePercent_Audio,AvgGeneralRating,0.42352941176470593,0.10210932208599743,16,16.0,72.080625,15.332142911217597,76.24,42.25,91.11,16.0,25.393125,12.048751923608796,29.75,7.79,43.5,1
AvgSaccadeRate,AvgGeneralRating,-0.5205882352941177,0.03869090714064999,16,16.0,9.34,4.391043915365305,7.955,5.06,24.35,16.0,25.393125,12.048751923608796,29.75,7.79,43.5,1
TotalExperimentTime,AvgGeneralRating,-0.27058823529411763,0.31076062710233504,16,16.0,670.7725,53.68156114222711,658.49,601.06,767.86,16.0,25.393125,12.048751923608796,29.75,7.79,43.5,1
TotalDistance,AvgGeneralRating,-0.2352941176470588,0.38035580118865675,16,16.0,78.83687499999999,30.924722304061735,65.13,48.89,137.65,16.0,25.393125,12.048751923608796,29.75,7.79,43.5,1
AvgSpeed,AvgGeneralRating,-0.2887109354567356,0.2781562601345613,16,16.0,0.11062500000000001,0.03415040263305837,0.1,0.07,0.18,16.0,25.393125,12.048751923608796,29.75,7.79,43.5,1
TimeStill,AvgGeneralRating,0.07058823529411765,0.795039302337628,16,16.0,137.8625,56.43785154190994,130.05,61.96,259.4,16.0,25.393125,12.048751923608796,29.75,7.79,43.5,1
TimeMoving,AvgGeneralRating,-0.23823529411764705,0.37425412972798844,16,16.0,555.65375,112.89008925351537,556.39,396.74,817.88,16.0,25.393125,12.048751923608796,29.75,7.79,43.5,1
Engagement_High,AvgGeneralRating,,,16,16.0,0.0,0.0,0.0,0.0,0.0,16.0,25.393125,12.048751923608796,29.75,7.79,43.5,1
Engagement_Moderate,AvgGeneralRating,0.2495393150987897,0.35130940357353213,16,16.0,0.625,1.408308678285174,0.0,0.0,5.0,16.0,25.393125,12.048751923608796,29.75,7.79,43.5,1
Engagement_Low,AvgGeneralRating,-0.2495393150987897,0.35130940357353213,16,16.0,6.375,1.408308678285174,7.0,2.0,7.0,16.0,25.393125,12.048751923608796,29.75,7.79,43.5,1
AvgSelfReportedLiking,AvgGeneralRating,0.3185854569058308,0.22912259920518316,16,16.0,28.954375,7.8774640325001375,29.215,16.07,44.5,16.0,31.081249999999997,10.261576145992388,32.75,7.43,43.5,2
AvgGazeTime,AvgGeneralRating,-0.4778781853587462,0.061183249885592074,16,16.0,53.9075,11.071853503366091,56.55,20.61,68.11,16.0,31.081249999999997,10.261576145992388,32.75,7.43,43.5,2
AvgGazePercent_Audio,AvgGeneralRating,-0.20059084323700457,0.4563326095948874,16,16.0,74.31625,15.761039252959602,78.94,26.22,91.55,16.0,31.081249999999997,10.261576145992388,32.75,7.43,43.5,2
AvgSaccadeRate,AvgGeneralRating,0.351033975664758,0.18248788814589872,16,16.0,8.393125000000001,1.6493583348280223,8.205,4.74,12.25,16.0,31.081249999999997,10.261576145992388,32.75,7.43,43.5,2
TotalExperimentTime,AvgGeneralRating,-0.1061951523019436,0.6954769577946153,16,16.0,662.7325,77.1896657590898,639.8050000000001,586.38,851.53,16.0,31.081249999999997,10.261576145992388,32.75,7.43,43.5,2
TotalDistance,AvgGeneralRating,-0.03244851875892721,0.905040987223333,16,16.0,68.92875000000001,19.610048742077787,63.894999999999996,41.83,103.84,16.0,31.081249999999997,10.261576145992388,32.75,7.43,43.5,2
AvgSpeed,AvgGeneralRating,-0.007468611897890551,0.9780998636359975,16,16.0,0.10250000000000001,0.02265686062395524,0.1,0.07,0.15,16.0,31.081249999999997,10.261576145992388,32.75,7.43,43.5,2
TimeStill,AvgGeneralRating,0.06489703751785442,0.8112748430968252,16,16.0,171.12125,64.87993895136873,164.12,63.12,271.18,16.0,31.081249999999997,10.261576145992388,32.75,7.43,43.5,2
TimeMoving,AvgGeneralRating,-0.12389434435226751,0.6475664499350493,16,16.0,504.65625,95.26849754772036,497.7,374.82,701.78,16.0,31.081249999999997,10.261576145992388,32.75,7.43,43.5,2
Engagement_High,AvgGeneralRating,-0.42132504423474315,0.1040970708712022,16,16.0,0.0625,0.25,0.0,0.0,1.0,16.0,31.081249999999997,10.261576145992388,32.75,7.43,43.5,2
Engagement_Moderate,AvgGeneralRating,-0.22754153011921602,0.3966964964731109,16,16.0,0.3125,0.7932002689527196,0.0,0.0,3.0,16.0,31.081249999999997,10.261576145992388,32.75,7.43,43.5,2
Engagement_Low,AvgGeneralRating,0.22754153011921602,0.3966964964731109,16,16.0,6.625,1.02469507659596,7.0,3.0,7.0,16.0,31.081249999999997,10.261576145992388,32.75,7.43,43.5,2
AvgSelfReportedLiking,AvgGeneralRating,0.14705882352941177,0.5867933937012053,16,16.0,27.9375,8.343111729644603,27.25,12.86,41.93,16.0,29.276874999999997,9.64106890253012,29.82,9.29,46.57,3
AvgGazeTime,AvgGeneralRating,0.0588235294117647,0.8286807500332258,16,16.0,58.678124999999994,7.217788413588565,58.879999999999995,39.82,68.74,16.0,29.276874999999997,9.64106890253012,29.82,9.29,46.57,3
AvgGazePercent_Audio,AvgGeneralRating,0.07941176470588236,0.770025319039825,16,16.0,80.32749999999999,10.08586965346403,80.85499999999999,54.61,94.35,16.0,29.276874999999997,9.64106890253012,29.82,9.29,46.57,3
AvgSaccadeRate,AvgGeneralRating,-0.044117647058823525,0.8711220048065985,16,16.0,8.84,1.48143173990569,9.195,6.15,11.64,16.0,29.276874999999997,9.64106890253012,29.82,9.29,46.57,3
TotalExperimentTime,AvgGeneralRating,-0.2029411764705882,0.45096124172270946,16,16.0,614.64375,58.16894358962807,597.595,550.63,787.17,16.0,29.276874999999997,9.64106890253012,29.82,9.29,46.57,3
TotalDistance,AvgGeneralRating,-0.3487859663903667,0.18549897878908947,16,16.0,59.350625,21.29250117412231,55.525,35.59,114.02,16.0,29.276874999999997,9.64106890253012,29.82,9.29,46.57,3
AvgSpeed,AvgGeneralRating,-0.41316600698522193,0.11169154923317012,16,16.0,0.09437500000000001,0.027317576759295473,0.09,0.06,0.17,16.0,29.276874999999997,9.64106890253012,29.82,9.29,46.57,3
TimeStill,AvgGeneralRating,0.4088235294117647,0.11588783814878352,16,16.0,142.47875,56.239398037911705,127.47999999999999,41.04,253.76,16.0,29.276874999999997,9.64106890253012,29.82,9.29,46.57,3
TimeMoving,AvgGeneralRating,-0.3205882352941176,0.22604542220798238,16,16.0,485.37,108.53272293030646,470.96000000000004,325.5,795.46,16.0,29.276874999999997,9.64106890253012,29.82,9.29,46.57,3
Engagement_High,AvgGeneralRating,,,16,16.0,0.0,0.0,0.0,0.0,0.0,16.0,29.276874999999997,9.64106890253012,29.82,9.29,46.57,3
Engagement_Moderate,AvgGeneralRating,0.16398401233815757,0.5439443841698728,16,16.0,0.25,0.6831300510639732,0.0,0.0,2.0,16.0,29.276874999999997,9.64106890253012,29.82,9.29,46.57,3
Engagement_Low,AvgGeneralRating,-0.16398401233815757,0.5439443841698728,16,16.0,6.75,0.6831300510639732,7.0,5.0,7.0,16.0,29.276874999999997,9.64106890253012,29.82,9.29,46.57,3
