Metric,101,102,103,104,105,106,107,108,109,110,111,112,113,114,116,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147
Klimt_presence,83.23,67.7,6.8,88.55,78.77,22.53,83.5,86.2,80.27,92.22,93.68,83.6,17.23,14.85,25.12,14.93,19.07,78.88,16.95,89.52,13.42,7.05,96.67,79.78,87.82,81.02,76.42,19.03,87.28,81.05,104.17,87.82,80.63,95.98,51.15,64.3,91.28,86.47,93.58,77.5,8.63,86.47,81.88,90.75,82.3
Klimt_presence_audio,95.67,77.82,7.82,101.78,90.54,25.9,95.98,99.08,92.26,106.0,107.68,96.09,19.8,17.07,28.87,17.16,21.92,90.67,19.48,102.9,15.43,8.1,111.11,91.7,100.94,93.13,87.84,21.87,100.32,93.16,119.74,100.94,92.68,110.32,58.79,73.91,104.92,99.39,107.56,89.08,9.92,99.39,94.11,104.31,94.6
Klimt_gaze,73.47,47.35,2.3,77.47,41.92,15.28,73.45,75.47,56.98,76.15,86.95,68.02,9.1,9.25,8.7,10.13,14.1,72.28,9.22,66.13,9.52,4.27,83.43,73.35,80.65,71.82,63.78,11.95,74.18,74.2,70.82,76.58,64.75,78.0,34.43,53.55,70.43,78.95,73.55,69.9,0.0,78.95,64.52,68.07,62.57
Klimt_gaze_percent,88.27,69.94,33.82,87.49,53.22,67.82,87.96,87.55,70.99,82.57,92.82,81.36,52.81,62.29,34.63,67.85,73.94,91.63,54.4,73.87,70.94,60.57,86.3,91.94,91.84,88.64,83.46,62.8,84.99,91.55,67.99,87.2,80.31,81.27,67.31,83.28,77.16,91.3,78.6,90.19,0.0,91.3,78.8,75.01,76.03
Klimt_saccade_rate,0.61,0.91,7.83,0.13,2.17,1.57,0.5,0.33,1.35,0.71,0.28,1.25,0.88,2.05,5.52,2.07,0.99,0.47,2.06,0.42,1.05,0.47,1.32,0.01,0.32,0.49,0.44,1.76,0.75,0.28,0.99,0.85,0.88,0.99,1.34,0.8,1.41,0.85,0.99,0.63,0.0,0.85,0.42,1.1,2.21
Klimt_engagement,Moderate Engagement,Moderate Engagement,Low Engagement,High Engagement,Low Engagement,Low Engagement,High Engagement,High Engagement,Moderate Engagement,Moderate Engagement,High Engagement,Moderate Engagement,Moderate Engagement,Low Engagement,Low Engagement,Low Engagement,Moderate Engagement,High Engagement,Low Engagement,High Engagement,Moderate Engagement,High Engagement,Moderate Engagement,High Engagement,High Engagement,High Engagement,High Engagement,Low Engagement,Moderate Engagement,High Engagement,Moderate Engagement,Moderate Engagement,Moderate Engagement,Moderate Engagement,Moderate Engagement,Moderate Engagement,Moderate Engagement,Moderate Engagement,Moderate Engagement,Moderate Engagement,High Engagement,Moderate Engagement,High Engagement,Moderate Engagement,Low Engagement
Klimt_valence,26.04,1.16,-14.33,11.0,0.22,-14.16,10.93,16.16,7.46,12.56,-6.17,18.6,26.98,6.25,20.4,4.62,42.86,-20.22,-4.96,-0.41,31.98,-15.48,34.91,14.82,-6.34,-18.92,7.27,0.0,7.02,-7.58,-8.85,27.78,-34.48,4.41,0.0,-8.39,-4.9,14.7,24.18,18.34,7.86,14.7,-3.09,0.12,34.6
Klimt_emotions,"surprise,surprise,surprise,surprise,surprise,surprise,neutral,surprise,surprise,surprise,surprise,neutral,neutral,surprise,surprise,surprise,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,surprise,surprise,neutral,surprise,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,surprise","sadness,neutral,neutral,neutral,neutral,neutral,surprise,surprise,surprise,surprise,surprise,neutral,anger,anger,neutral,anger,neutral,neutral,anger,neutral,neutral,surprise,anger,anger,anger,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise","neutral,neutral,neutral,neutral","surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,surprise,neutral,surprise,neutral,neutral,neutral,neutral,neutral,surprise,surprise,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,anger,neutral,neutral,neutral,neutral,surprise","neutral,surprise,neutral,surprise,neutral,neutral,surprise,surprise,surprise,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,anger,neutral,surprise,anger,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,surprise,neutral","neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral","joy,joy,neutral,surprise,surprise,surprise,surprise,joy,surprise,surprise,surprise,surprise,surprise,neutral,surprise,joy,sadness,surprise,surprise,neutral,surprise,neutral,anger,neutral,neutral,joy,surprise,surprise,surprise,neutral,neutral,neutral,surprise,surprise,surprise,surprise,surprise,neutral,anger,neutral,joy,neutral","joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy","neutral,surprise,surprise,surprise,surprise,surprise,surprise,neutral,surprise,surprise,surprise,neutral,surprise,neutral,neutral,surprise,surprise,surprise,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral","joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,neutral,joy,joy,joy,joy,joy","neutral,joy,joy,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,anger,anger,anger,neutral","neutral,anger,anger,neutral,surprise,neutral,surprise,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,joy,anger","neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral","neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral","joy,joy,joy,joy,joy,joy,joy,joy,neutral,joy,neutral,anger","neutral,sadness,neutral,surprise,surprise,neutral,neutral,neutral","joy,joy,joy,joy,surprise,neutral,neutral,neutral,neutral,neutral","neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,joy","neutral,surprise,neutral,neutral,neutral,neutral,neutral,anger,joy","surprise,neutral,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,anger,anger,surprise,surprise,neutral,neutral,anger,neutral,neutral,anger,anger,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,surprise,surprise,neutral,surprise","joy,joy,neutral,anger,anger,joy,joy","joy,joy,neutral,neutral","joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral","neutral,neutral,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,neutral,neutral,neutral,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,neutral,surprise,surprise,surprise,surprise,surprise,sadness","neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral","neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,anger,neutral,neutral,neutral,anger,anger,neutral,neutral,neutral,neutral,neutral,neutral,sadness,anger,anger,neutral,neutral,neutral,anger,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral","neutral,neutral,surprise,neutral,neutral,neutral,surprise,neutral,surprise,surprise,surprise,neutral,surprise,surprise,neutral,surprise,surprise,neutral,surprise,surprise,neutral,neutral,neutral,surprise,surprise,neutral,neutral,surprise,neutral,surprise,surprise,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral","neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral","neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,surprise,neutral,surprise,surprise,surprise,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,joy,surprise","neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral","neutral,neutral,neutral,neutral,joy,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,anger,anger,anger,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,surprise,joy,surprise,neutral","surprise,surprise,surprise,surprise,neutral,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,neutral,surprise,neutral,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise","neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,anger,neutral,anger,anger,anger,anger,anger,anger,anger,anger,anger,anger,anger,anger,neutral,neutral,anger,neutral,neutral,anger,anger,neutral,anger,neutral,anger,neutral,neutral,neutral,neutral","joy,surprise,joy,joy,surprise,joy,joy,surprise,joy,joy,joy,joy,surprise,joy,joy,joy,joy,joy,surprise,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,surprise,joy,joy,joy,joy,surprise,surprise,neutral,joy,neutral,joy,joy,joy,joy,joy,joy,joy,surprise,joy","neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral","neutral,neutral,neutral,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,anger,neutral,neutral,anger,neutral,neutral,anger,neutral,neutral,neutral,anger,anger,neutral,neutral,anger","surprise,surprise,surprise,neutral,surprise,neutral,neutral,anger,neutral,neutral,anger,anger,anger,neutral,neutral,surprise,surprise,anger,anger,neutral,surprise,neutral,neutral,surprise,surprise,surprise,anger,neutral,neutral,anger,anger,neutral,surprise,neutral,anger,anger,surprise,neutral,anger,surprise,surprise,anger,sadness,surprise,neutral,neutral","joy,joy,joy,surprise,surprise,surprise,joy,anger,surprise,surprise,surprise,surprise,surprise,anger,anger,joy,anger,anger,surprise,surprise,surprise,neutral,surprise,surprise,neutral,neutral,neutral,surprise,surprise,neutral,neutral,neutral,surprise,surprise,neutral,anger,surprise,surprise,neutral,neutral,sadness,surprise,surprise,neutral","surprise,surprise,joy,joy,surprise,surprise,joy,joy,joy,surprise,surprise,joy,surprise,surprise,surprise,joy,surprise,surprise,neutral,surprise,surprise,joy,joy,surprise,surprise,surprise,surprise,anger,neutral,surprise,surprise,surprise,surprise,joy,joy,joy,joy,surprise,surprise,anger,joy,neutral,anger,joy,surprise,surprise,surprise","joy,joy,surprise,surprise,surprise,neutral,neutral,anger,surprise,surprise,surprise,surprise,surprise,neutral,surprise,surprise,surprise,surprise,surprise,neutral,surprise,neutral,surprise,surprise,neutral,surprise,neutral,neutral,surprise,surprise,neutral,neutral,surprise,surprise,surprise,surprise,surprise,neutral,neutral",,"joy,joy,joy,surprise,surprise,surprise,joy,anger,surprise,surprise,surprise,surprise,surprise,anger,anger,joy,anger,anger,surprise,surprise,surprise,neutral,surprise,surprise,neutral,neutral,neutral,surprise,surprise,neutral,neutral,neutral,surprise,surprise,neutral,anger,surprise,surprise,neutral,neutral,sadness,surprise,surprise,neutral","joy,joy,joy,joy,neutral,joy,neutral,neutral,joy,neutral,neutral,neutral,neutral,joy,joy,neutral,neutral,joy,joy,joy,neutral,neutral,joy,neutral,neutral,anger,neutral,neutral,neutral,anger,anger,joy,neutral,neutral,neutral,neutral,joy,joy,joy,joy,joy","neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,surprise,surprise,anger,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,surprise","neutral,neutral,neutral,neutral,anger,neutral,anger,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,anger,anger,neutral,neutral,neutral,anger,anger,neutral,neutral,neutral,surprise,neutral,surprise,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral"
van Dongen_presence,93.87,37.97,61.95,79.22,74.68,11.62,75.98,80.5,71.33,79.2,80.28,76.93,75.05,77.77,40.18,80.05,65.43,74.7,87.43,74.53,82.82,75.23,76.0,72.78,77.93,80.03,71.82,12.83,45.53,78.7,58.27,78.27,77.15,111.13,81.7,73.72,78.43,78.07,81.55,71.0,0.0,78.07,75.2,80.28,76.42
van Dongen_presence_audio,115.89,46.88,76.48,97.8,92.2,14.35,93.8,99.38,88.06,97.78,99.11,94.98,92.65,96.01,49.6,98.83,80.78,92.22,107.94,92.01,102.25,92.88,93.83,89.85,96.21,98.8,88.67,15.84,56.21,97.16,71.94,96.63,95.25,137.2,100.86,91.01,96.83,96.38,100.68,87.65,0.0,96.38,92.84,99.11,94.35
van Dongen_gaze,65.67,20.33,49.45,62.4,21.05,7.23,66.53,48.98,34.02,49.9,73.2,47.97,52.22,42.8,14.38,66.55,48.88,57.65,23.55,57.3,50.18,52.13,68.83,67.75,70.35,60.93,60.32,4.08,10.8,64.18,29.28,69.75,65.53,76.17,72.15,56.72,48.62,55.57,51.88,65.02,0.0,55.57,61.03,44.77,55.33
van Dongen_gaze_percent,69.96,53.54,79.82,78.77,28.19,62.22,87.56,60.84,47.69,63.01,91.18,62.36,69.58,55.03,35.79,83.14,74.71,77.18,26.94,76.88,60.59,69.29,90.57,93.09,90.27,76.13,83.99,31.8,23.72,81.55,50.25,89.11,84.94,68.54,88.31,76.94,61.99,71.18,63.62,91.58,0.0,71.18,81.16,55.77,72.4
van Dongen_saccade_rate,0.73,1.87,0.26,0.22,2.85,1.66,0.84,0.86,1.12,0.2,0.16,0.54,0.57,0.7,3.27,0.75,0.2,0.69,1.49,0.31,1.49,0.36,0.48,0.4,0.63,0.92,0.93,5.88,3.7,0.92,1.71,0.76,0.76,0.59,0.33,1.11,0.91,1.33,0.6,0.46,0.0,1.33,0.43,1.27,2.33
van Dongen_engagement,Moderate Engagement,Low Engagement,High Engagement,High Engagement,Low Engagement,Low Engagement,Moderate Engagement,Moderate Engagement,Moderate Engagement,High Engagement,High Engagement,Moderate Engagement,Moderate Engagement,Moderate Engagement,Low Engagement,Moderate Engagement,High Engagement,Moderate Engagement,Moderate Engagement,High Engagement,Moderate Engagement,High Engagement,High Engagement,High Engagement,Moderate Engagement,Moderate Engagement,Moderate Engagement,Low Engagement,Low Engagement,Moderate Engagement,Low Engagement,Moderate Engagement,Moderate Engagement,Moderate Engagement,High Engagement,Moderate Engagement,Moderate Engagement,Moderate Engagement,Moderate Engagement,High Engagement,High Engagement,Moderate Engagement,High Engagement,Moderate Engagement,Low Engagement
van Dongen_valence,6.66,0.0,12.58,-6.1,2.4,-11.81,0.36,14.97,1.74,7.32,0.0,-23.4,0.0,0.0,11.83,0.0,4.18,-12.3,0.0,-4.74,46.57,2.42,-3.41,-1.16,0.0,0.0,0.0,0.0,-8.09,0.03,-18.08,-3.98,-23.55,0.82,-10.93,0.0,-2.52,-8.95,-6.8,-3.46,5.14,-8.95,1.78,-22.96,-26.77
