Type,Value,Question,Stat
1 Fully active,6.14,Please rate your overall satisfaction with the guided tour of the Minza Blumenthal collection.,mean
1 Fully active,6.0,Please rate your overall satisfaction with the guided tour of the Minza Blumenthal collection.,median
1 Fully active,0.28,Please rate your overall satisfaction with the guided tour of the Minza Blumenthal collection.,se
2 Semi-active,6.23,Please rate your overall satisfaction with the guided tour of the Minza Blumenthal collection.,mean
2 Semi-active,6.0,Please rate your overall satisfaction with the guided tour of the Minza Blumenthal collection.,median
2 Semi-active,0.2,Please rate your overall satisfaction with the guided tour of the Minza Blumenthal collection.,se
3 Passive,6.0,Please rate your overall satisfaction with the guided tour of the Minza Blumenthal collection.,mean
3 Passive,6.0,Please rate your overall satisfaction with the guided tour of the Minza Blumenthal collection.,median
3 Passive,0.21,Please rate your overall satisfaction with the guided tour of the Minza Blumenthal collection.,se
1 Fully active,5.71,Please rate your satisfaction with the explanations about the artworks.,mean
1 Fully active,6.0,Please rate your satisfaction with the explanations about the artworks.,median
1 Fully active,0.3,Please rate your satisfaction with the explanations about the artworks.,se
2 Semi-active,6.15,Please rate your satisfaction with the explanations about the artworks.,mean
2 Semi-active,6.0,Please rate your satisfaction with the explanations about the artworks.,median
2 Semi-active,0.25,Please rate your satisfaction with the explanations about the artworks.,se
3 Passive,5.79,Please rate your satisfaction with the explanations about the artworks.,mean
3 Passive,6.0,Please rate your satisfaction with the explanations about the artworks.,median
3 Passive,0.3,Please rate your satisfaction with the explanations about the artworks.,se
1 Fully active,4.57,Was the duration of the visit to your liking?,mean
1 Fully active,4.0,Was the duration of the visit to your liking?,median
1 Fully active,0.23,Was the duration of the visit to your liking?,se
2 Semi-active,4.85,Was the duration of the visit to your liking?,mean
2 Semi-active,5.0,Was the duration of the visit to your liking?,median
2 Semi-active,0.19,Was the duration of the visit to your liking?,se
3 Passive,4.64,Was the duration of the visit to your liking?,mean
3 Passive,4.0,Was the duration of the visit to your liking?,median
3 Passive,0.25,Was the duration of the visit to your liking?,se
1 Fully active,4.93,Would you like to hear more explanations of this kind about other works in the collection?,mean
1 Fully active,5.0,Would you like to hear more explanations of this kind about other works in the collection?,median
1 Fully active,0.45,Would you like to hear more explanations of this kind about other works in the collection?,se
2 Semi-active,5.31,Would you like to hear more explanations of this kind about other works in the collection?,mean
2 Semi-active,5.0,Would you like to hear more explanations of this kind about other works in the collection?,median
2 Semi-active,0.31,Would you like to hear more explanations of this kind about other works in the collection?,se
3 Passive,4.79,Would you like to hear more explanations of this kind about other works in the collection?,mean
3 Passive,5.5,Would you like to hear more explanations of this kind about other works in the collection?,median
3 Passive,0.44,Would you like to hear more explanations of this kind about other works in the collection?,se
1 Fully active,5.43,Would you like to visit the museum again with such a guide?,mean
1 Fully active,5.5,Would you like to visit the museum again with such a guide?,median
1 Fully active,0.43,Would you like to visit the museum again with such a guide?,se
2 Semi-active,5.85,Would you like to visit the museum again with such a guide?,mean
2 Semi-active,6.0,Would you like to visit the museum again with such a guide?,median
2 Semi-active,0.34,Would you like to visit the museum again with such a guide?,se
3 Passive,5.0,Would you like to visit the museum again with such a guide?,mean
3 Passive,5.0,Would you like to visit the museum again with such a guide?,median
3 Passive,0.36,Would you like to visit the museum again with such a guide?,se
1 Fully active,5.36,Would you like to visit other museums with similar guidance?,mean
1 Fully active,6.0,Would you like to visit other museums with similar guidance?,median
1 Fully active,0.36,Would you like to visit other museums with similar guidance?,se
2 Semi-active,6.23,Would you like to visit other museums with similar guidance?,mean
2 Semi-active,6.0,Would you like to visit other museums with similar guidance?,median
2 Semi-active,0.26,Would you like to visit other museums with similar guidance?,se
3 Passive,5.5,Would you like to visit other museums with similar guidance?,mean
3 Passive,5.0,Would you like to visit other museums with similar guidance?,median
3 Passive,0.33,Would you like to visit other museums with similar guidance?,se
1 Fully active,5.64,Would you recommend your friends to visit the collection accompanied by this type of audio guide?,mean
1 Fully active,6.0,Would you recommend your friends to visit the collection accompanied by this type of audio guide?,median
1 Fully active,0.27,Would you recommend your friends to visit the collection accompanied by this type of audio guide?,se
2 Semi-active,6.38,Would you recommend your friends to visit the collection accompanied by this type of audio guide?,mean
2 Semi-active,7.0,Would you recommend your friends to visit the collection accompanied by this type of audio guide?,median
2 Semi-active,0.21,Would you recommend your friends to visit the collection accompanied by this type of audio guide?,se
3 Passive,5.86,Would you recommend your friends to visit the collection accompanied by this type of audio guide?,mean
3 Passive,6.0,Would you recommend your friends to visit the collection accompanied by this type of audio guide?,median
3 Passive,0.25,Would you recommend your friends to visit the collection accompanied by this type of audio guide?,se
1 Fully active,5.5,Please rate how much you liked the artwork.,mean
1 Fully active,5.5,Please rate how much you liked the artwork.,median
1 Fully active,0.25,Please rate how much you liked the artwork.,se
2 Semi-active,5.69,Please rate how much you liked the artwork.,mean
2 Semi-active,6.0,Please rate how much you liked the artwork.,median
2 Semi-active,0.26,Please rate how much you liked the artwork.,se
3 Passive,4.57,Please rate how much you liked the artwork.,mean
3 Passive,5.0,Please rate how much you liked the artwork.,median
3 Passive,0.41,Please rate how much you liked the artwork.,se
1 Fully active,5.0,Please rate how much you liked the artwork..1,mean
1 Fully active,5.0,Please rate how much you liked the artwork..1,median
1 Fully active,0.48,Please rate how much you liked the artwork..1,se
2 Semi-active,5.08,Please rate how much you liked the artwork..1,mean
2 Semi-active,5.0,Please rate how much you liked the artwork..1,median
2 Semi-active,0.4,Please rate how much you liked the artwork..1,se
3 Passive,5.14,Please rate how much you liked the artwork..1,mean
3 Passive,5.0,Please rate how much you liked the artwork..1,median
3 Passive,0.43,Please rate how much you liked the artwork..1,se
1 Fully active,4.57,Please rate how much you liked the artwork..2,mean
1 Fully active,4.5,Please rate how much you liked the artwork..2,median
1 Fully active,0.41,Please rate how much you liked the artwork..2,se
2 Semi-active,4.15,Please rate how much you liked the artwork..2,mean
2 Semi-active,4.0,Please rate how much you liked the artwork..2,median
2 Semi-active,0.47,Please rate how much you liked the artwork..2,se
3 Passive,4.36,Please rate how much you liked the artwork..2,mean
3 Passive,4.0,Please rate how much you liked the artwork..2,median
3 Passive,0.34,Please rate how much you liked the artwork..2,se
1 Fully active,4.21,Please rate how much you liked the artwork..3,mean
1 Fully active,3.5,Please rate how much you liked the artwork..3,median
1 Fully active,0.51,Please rate how much you liked the artwork..3,se
2 Semi-active,4.69,Please rate how much you liked the artwork..3,mean
2 Semi-active,5.0,Please rate how much you liked the artwork..3,median
2 Semi-active,0.55,Please rate how much you liked the artwork..3,se
3 Passive,4.14,Please rate how much you liked the artwork..3,mean
3 Passive,5.0,Please rate how much you liked the artwork..3,median
3 Passive,0.49,Please rate how much you liked the artwork..3,se
1 Fully active,6.29,Please rate how much you liked the artwork..4,mean
1 Fully active,7.0,Please rate how much you liked the artwork..4,median
1 Fully active,0.37,Please rate how much you liked the artwork..4,se
2 Semi-active,5.15,Please rate how much you liked the artwork..4,mean
2 Semi-active,5.0,Please rate how much you liked the artwork..4,median
2 Semi-active,0.37,Please rate how much you liked the artwork..4,se
3 Passive,5.57,Please rate how much you liked the artwork..4,mean
3 Passive,6.0,Please rate how much you liked the artwork..4,median
3 Passive,0.27,Please rate how much you liked the artwork..4,se
1 Fully active,5.64,Please rate how much you liked the artwork..5,mean
1 Fully active,6.0,Please rate how much you liked the artwork..5,median
1 Fully active,0.33,Please rate how much you liked the artwork..5,se
2 Semi-active,5.69,Please rate how much you liked the artwork..5,mean
2 Semi-active,7.0,Please rate how much you liked the artwork..5,median
2 Semi-active,0.56,Please rate how much you liked the artwork..5,se
3 Passive,5.5,Please rate how much you liked the artwork..5,mean
3 Passive,6.0,Please rate how much you liked the artwork..5,median
3 Passive,0.45,Please rate how much you liked the artwork..5,se
1 Fully active,4.71,Please rate how much you liked the artwork..6,mean
1 Fully active,5.0,Please rate how much you liked the artwork..6,median
1 Fully active,0.5,Please rate how much you liked the artwork..6,se
2 Semi-active,5.62,Please rate how much you liked the artwork..6,mean
2 Semi-active,6.0,Please rate how much you liked the artwork..6,median
2 Semi-active,0.39,Please rate how much you liked the artwork..6,se
3 Passive,5.43,Please rate how much you liked the artwork..6,mean
3 Passive,6.0,Please rate how much you liked the artwork..6,median
3 Passive,0.37,Please rate how much you liked the artwork..6,se
